index,Drug_Name,Reason,Description,Side_Effects
1,A CN Gel(Topical) 20gmA CN Soap 75gm,Acne,Mild to moderate acne (spots),"Headache, Rash, Nausea"
2,A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Headache, Drowsiness, Dizziness"
3,ACGEL CL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Diarrhea, Stomach pain, Fatigue"
4,ACGEL NANO Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Stomach pain, Fatigue, Nausea"
5,Acleen 1% Lotion 25ml,Acne,treat the most severe form of acne (nodular acne)Â ,"Dry mouth, Stomach pain, Dizziness"
6,Aclene 0.10% Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Headache, Dry mouth, Dizziness"
7,Acnay Gel 10gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Diarrhea, Fatigue, Stomach pain"
8,Acne Aid Bar 50gmAcne Aid Bar 100gm,Acne,Â treat acne vulgarisÂ ,"Rash, Nausea, Fatigue"
9,Acne UV Gel 60gm,Acne,Â treat acne vulgarisÂ ,"Vomiting, Nausea, Headache"
10,Acne UV SPF 30 Gel 30gm,Acne,Â treat mild to moderate acne(spots),"Diarrhea, Vomiting, Rash"
11,Acnecure Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,"Fatigue, Rash, Nausea"
12,Acnedap Gel 15gm,Acne,Mild to moderate acne (spots),"Dry mouth, Headache, Vomiting"
13,Acnedap Plus Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Stomach pain, Headache, Dry mouth"
14,Acnehit Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Drowsiness, Rash, Dizziness"
15,Acnelak Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Rash, Vomiting, Dizziness"
16,Acnelak Clz Cream 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Headache, Vomiting, Rash"
17,Acnelak Z Lotion 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Vomiting, Fatigue, Nausea"
18,Acnemoist Cream 60gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Rash, Dizziness, Diarrhea"
19,Acnerex Soap 75gm,Acne,Â treat acne vulgarisÂ ,"Rash, Nausea, Headache"
20,Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,Acne,Â treat acne vulgarisÂ ,"Dizziness, Stomach pain, Nausea"
21,Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,Acne,Â treat mild to moderate acne(spots),"Vomiting, Dry mouth, Fatigue"
22,Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,"Stomach pain, Drowsiness, Diarrhea"
23,Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,"Drowsiness, Dizziness, Fatigue"
24,Acnestal Soap 75gm,Acne,"Â gives smooth, soft, supple and fresh feeling to the skin","Nausea, Rash, Dizziness"
25,Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple.","Drowsiness, Stomach pain, Nausea"
26,Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild to moderate acne (spots),"Vomiting, Rash, Headache"
27,Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Vomiting, Dry mouth, Nausea"
28,Acnetor AD 1% Ointment 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Dizziness, Diarrhea, Rash"
29,Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Fatigue, Drowsiness, Vomiting"
30,Acnewar Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Rash, Stomach pain, Dizziness"
31,Acnewar Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Headache, Vomiting"
32,Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,treat the most severe form of acne (nodular acne)Â ,"Stomach pain, Vomiting, Nausea"
33,Acnezyl Gel(Topical) 10gm,Acne,Â treat acne vulgarisÂ ,"Dizziness, Rash, Dry mouth"
34,Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,Â treat acne vulgarisÂ ,"Nausea, Vomiting, Dizziness"
35,Acnil Soap 75gm,Acne,Â treat mild to moderate acne(spots),"Dizziness, Rash, Vomiting"
36,Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp,"Dizziness, Fatigue, Vomiting"
37,Acnin Pimple Care Face Pack 50gm,Acne,Mild to moderate acne (spots),"Dizziness, Diarrhea, Headache"
38,Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles,"Nausea, Rash, Dry mouth"
39,Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple","Vomiting, Stomach pain, Diarrhea"
